iter	Passed	Remaining
0	0	721
1	1	653
2	1	645
3	2	652
4	3	641
5	3	628
6	4	615
7	4	608
8	5	602
9	6	599
10	6	596
11	7	593
12	7	587
13	8	598
14	9	595
15	9	592
16	10	589
17	10	585
18	11	579
19	11	574
20	12	572
21	12	569
22	13	558
23	13	555
24	14	553
25	14	553
26	15	555
27	15	550
28	16	551
29	17	551
30	17	551
31	18	554
32	18	554
33	19	553
34	20	554
35	20	555
36	21	553
37	21	551
38	22	550
39	22	551
40	23	552
41	24	551
42	24	546
43	25	543
44	25	541
45	25	536
46	26	534
47	26	533
48	27	532
49	27	530
50	28	529
51	28	524
52	29	522
53	29	523
54	30	522
55	30	522
56	31	521
57	32	520
58	32	519
59	33	519
60	33	518
61	34	517
62	34	516
63	35	516
64	35	515
65	36	514
66	36	513
67	37	513
68	38	513
69	38	512
70	39	512
71	39	512
72	40	511
73	40	511
74	41	510
75	41	510
76	42	509
77	43	508
78	43	508
79	44	508
80	44	508
81	45	507
82	45	507
83	46	506
84	46	505
85	47	505
86	48	504
87	48	504
88	49	504
89	49	503
90	50	502
91	50	501
92	51	501
93	51	500
94	52	501
95	53	501
96	53	497
97	54	497
98	54	497
99	55	496
100	55	494
101	56	493
102	56	492
103	57	491
104	57	491
105	58	493
106	59	493
107	59	492
108	60	492
109	60	492
110	61	491
111	61	491
112	62	488
113	62	489
114	63	488
115	64	488
116	64	488
117	65	487
118	65	486
119	66	484
120	66	483
121	66	480
122	67	480
123	67	479
124	68	478
125	68	477
126	69	476
127	69	474
128	70	473
129	70	472
130	71	471
131	71	470
132	72	470
133	72	470
134	73	469
135	73	468
136	74	467
137	74	466
138	75	464
139	75	464
140	76	463
141	76	462
142	77	461
143	77	460
144	77	459
145	78	458
146	78	457
147	79	456
148	79	455
149	80	454
150	80	453
151	81	453
152	81	452
153	82	451
154	82	451
155	83	450
156	83	449
157	84	448
158	84	447
159	85	446
160	85	446
161	86	445
162	86	445
163	87	444
164	87	443
165	88	442
166	88	440
167	88	439
168	89	439
169	89	438
170	90	437
171	90	436
172	91	435
173	91	435
174	92	434
175	92	433
176	93	433
177	93	432
178	94	431
179	94	430
180	95	430
181	95	429
182	96	428
183	96	428
184	97	428
185	97	427
186	98	427
187	98	426
188	99	426
189	99	426
190	100	425
191	100	424
192	101	424
193	101	423
194	102	423
195	102	422
196	103	421
197	103	420
198	104	420
199	104	419
200	105	418
201	105	418
202	106	417
203	106	416
204	107	415
205	107	415
206	108	415
207	109	415
208	109	414
209	110	414
210	110	414
211	111	414
212	112	414
213	112	413
214	113	413
215	113	412
216	114	412
217	114	411
218	115	411
219	115	410
220	116	410
221	116	409
222	117	409
223	117	408
224	118	407
225	118	407
226	119	406
227	119	405
228	120	404
229	120	404
230	121	403
231	121	402
232	122	402
233	122	401
234	123	400
235	123	400
236	124	399
237	124	398
238	124	397
239	125	396
240	125	396
241	126	396
242	127	395
243	127	395
244	128	396
245	129	395
246	129	394
247	129	394
248	130	393
249	130	392
250	131	392
251	131	391
252	132	390
253	132	390
254	133	389
255	133	388
256	134	388
257	134	387
258	135	387
259	135	386
260	136	385
261	136	385
262	137	384
263	137	384
264	138	383
265	138	382
266	139	382
267	139	381
268	140	380
269	140	380
270	141	380
271	141	380
272	142	379
273	143	378
274	143	378
275	144	377
276	144	377
277	145	376
278	145	376
279	146	375
280	146	375
281	147	374
282	147	374
283	148	373
284	148	373
285	149	372
286	149	372
287	150	372
288	151	371
289	151	371
290	152	370
291	152	370
292	153	369
293	153	368
294	154	368
295	154	367
296	155	368
297	156	368
298	157	368
299	157	367
300	158	367
301	158	366
302	159	366
303	159	365
304	160	365
305	160	364
306	161	364
307	162	364
308	162	363
309	163	362
310	163	362
311	164	361
312	164	361
313	165	360
314	165	360
315	166	359
316	166	359
317	167	358
318	167	357
319	168	357
320	168	357
321	169	356
322	169	356
323	170	355
324	171	355
325	171	354
326	172	354
327	172	353
328	173	353
329	173	352
330	174	352
331	174	351
332	175	350
333	175	350
334	176	349
335	176	348
336	177	348
337	177	347
338	178	347
339	178	346
340	179	346
341	179	345
342	180	344
343	180	344
344	181	343
345	181	343
346	182	342
347	182	342
348	183	341
349	183	341
350	184	340
351	184	340
352	185	340
353	186	339
354	186	339
355	187	338
356	187	337
357	188	337
358	188	336
359	189	336
360	189	335
361	189	334
362	190	334
363	190	333
364	191	332
365	191	332
366	192	331
367	192	331
368	193	330
369	193	329
370	194	329
371	194	328
372	195	328
373	195	327
374	196	327
375	196	326
376	197	326
377	197	325
378	198	325
379	199	324
380	199	324
381	200	323
382	200	323
383	201	322
384	201	322
385	202	321
386	202	321
387	203	320
388	203	319
389	204	319
390	204	318
391	205	318
392	205	317
393	206	316
394	206	316
395	207	315
396	207	315
397	207	314
398	208	313
399	208	313
400	209	312
401	209	312
402	210	312
403	211	311
404	211	311
405	212	310
406	212	309
407	213	309
408	213	308
409	214	308
410	214	308
411	215	307
412	216	307
413	216	306
414	217	306
415	217	305
416	218	305
417	218	304
418	219	304
419	219	303
420	220	303
421	220	302
422	221	301
423	221	301
424	222	300
425	222	300
426	223	299
427	223	299
428	224	298
429	225	298
430	225	297
431	226	297
432	226	296
433	227	296
434	227	295
435	228	294
436	228	294
437	229	294
438	229	293
439	230	293
440	230	292
441	231	291
442	231	291
443	232	290
444	232	290
445	233	289
446	233	289
447	234	288
448	234	288
449	235	287
450	235	287
451	236	286
452	236	286
453	237	285
454	237	284
455	238	284
456	238	283
457	239	283
458	239	282
459	240	282
460	240	281
461	241	281
462	241	280
463	242	280
464	242	279
465	243	278
466	243	278
467	244	277
468	244	277
469	245	276
470	245	276
471	246	275
472	246	275
473	247	274
474	247	273
475	248	273
476	248	272
477	249	272
478	249	271
479	250	271
480	250	270
481	251	270
482	251	269
483	252	268
484	253	268
485	253	268
486	254	267
487	254	267
488	255	266
489	255	265
490	255	265
491	256	264
492	256	264
493	257	263
494	257	263
495	258	262
496	259	262
497	259	261
498	260	261
499	260	260
500	261	260
501	261	259
502	262	259
503	262	258
504	263	258
505	263	257
506	264	256
507	264	256
508	265	255
509	265	255
510	266	254
511	266	254
512	267	253
513	267	253
514	268	252
515	268	252
516	269	251
517	269	251
518	270	250
519	270	250
520	271	249
521	271	248
522	272	248
523	272	247
524	273	247
525	274	246
526	274	246
527	275	245
528	275	245
529	276	244
530	276	244
531	277	243
532	277	243
533	278	242
534	278	242
535	279	241
536	279	241
537	280	240
538	280	240
539	281	239
540	281	239
541	282	238
542	283	238
543	283	237
544	284	237
545	284	236
546	285	236
547	285	235
548	286	234
549	286	234
550	287	233
551	287	233
552	288	232
553	288	232
554	289	231
555	289	231
556	290	230
557	290	230
558	291	229
559	291	229
560	292	228
561	292	227
562	293	227
563	293	226
564	294	226
565	294	225
566	295	225
567	296	225
568	297	224
569	297	224
570	298	224
571	298	223
572	299	223
573	299	222
574	300	222
575	300	221
576	301	220
577	302	220
578	302	220
579	303	219
580	303	219
581	304	218
582	304	218
583	305	217
584	305	217
585	306	216
586	306	215
587	307	215
588	307	214
589	308	214
590	309	213
591	309	213
592	310	212
593	310	212
594	311	211
595	311	211
596	312	210
597	312	210
598	313	209
599	313	209
600	314	208
601	314	208
602	315	207
603	315	207
604	316	206
605	316	206
606	317	205
607	318	205
608	318	204
609	319	204
610	319	203
611	320	203
612	320	202
613	321	202
614	321	201
615	322	201
616	322	200
617	323	200
618	324	199
619	324	199
620	325	198
621	325	197
622	326	197
623	326	197
624	327	196
625	328	196
626	328	195
627	329	194
628	329	194
629	330	193
630	330	193
631	331	192
632	331	192
633	332	191
634	332	191
635	333	190
636	334	190
637	334	189
638	335	189
639	335	188
640	336	188
641	336	187
642	336	187
643	337	186
644	338	186
645	339	185
646	339	185
647	340	184
648	340	184
649	341	183
650	341	183
651	342	182
